minute,id,light.status,light.side,distance.moved,mean.velocity,left.side.visits,left.side.time,left.side.latency,right.side.visits,right.side.time,right.side.latency,right.feeder.side.visits,right.feeder.side.time,right.feeder.side.latency,left.feeder.side.visits,left.feeder.side.time,left.feeder.side.latency
2,pi3_small,2after,left,109.904,1.83174,1,39,61.6,2,21,60,2,6.8,104,6,12,67
3,pi3_small,2after,left,89.0679,1.55713,1,46.8,131,1,11,120,0,0,60,4,2.8,136
1,pi3_large,1before,left,135.756,2.27016,1,29,20.2,2,31,0,0,0,60,0,0,60
2,pi3_large,1before,left,97.3958,1.62326,1,9.4,110.6,1,50.6,60,2,9.4,74.2,0,0,60
3,pi3_large,1before,left,154.901,2.58169,3,44,120,2,15.8,155.2,0,0,60,1,4.6,128.6
1,pi3_large,2after,left,178.373,3.00291,3,56.2,0.4,2,3.4,36,0,0,60,8,7,1.4
2,pi3_large,2after,left,223.645,3.72741,8,37,60,8,22.6,62,0,0,60,0,0,60
3,pi3_large,2after,left,147.897,2.50672,1,4.4,175.2,1,55.2,120,1,3.2,164.8,0,0,60
1,small_pi1_w3,1before,right,297.812,4.98014,6,30.4,0,7,29.2,2.8,0,0,60,2,2,25.2
2,small_pi1_w3,1before,right,304.943,5.08238,5,44,65,5,15.8,60,0,0,60,4,6,69.4
3,small_pi1_w3,1before,right,232.469,3.92684,4,19.8,124.4,6,39,120,1,0.4,141.8,1,0.2,154.2
1,small_pi1_w3,2after,right,296.595,4.95978,4,32.4,7,4,27.4,0,1,0.6,54,3,2.6,12
2,small_pi1_w3,2after,right,278.769,4.64615,5,35.2,60,4,24.8,63.8,0,0,60,4,2.8,60.4
3,small_pi1_w3,2after,right,256.588,4.27647,4,32.4,120,3,27.4,123.8,2,9,129.4,5,7.6,120
1,large_pi1_w3,1before,right,89.9118,1.50354,2,19.2,0,1,40.8,15.2,0,0,60,0,0,60
2,large_pi1_w3,1before,right,90.7612,1.51269,1,27.4,60,1,32.6,87.4,2,22.4,93.2,1,8,76.6
3,large_pi1_w3,1before,right,90.5974,1.50996,1,31,121.2,2,28.8,120,1,2,156.8,2,20.2,125.6
1,large_pi1_w3,2after,right,88.019,1.47189,1,11,49,1,49,0,2,13.8,27.2,1,7,53
2,large_pi1_w3,2after,right,84.4476,1.40746,2,18.8,60,1,41.2,65.6,1,22.8,69.6,2,4.2,60
3,large_pi1_w3,2after,right,151.487,2.52478,1,11,120,1,49,131,6,13.2,139.6,1,7.2,120
1,small_pi2_w3,1before,left,141.487,2.366,2,4.4,34.8,2,55.6,0,2,21.4,7.4,0,0,60
2,small_pi2_w3,1before,left,223.205,3.72009,2,13.6,60,2,46.4,66.6,0,0,60,2,0.6,78
3,small_pi2_w3,1before,left,249.353,4.15589,5,27.2,128.6,5,32.8,120,0,0,60,1,0.4,154.6
1,small_pi2_w3,2after,left,278.606,4.65897,5,22.4,4.4,5,37.6,0,0,0,60,2,2.6,46.8
2,small_pi2_w3,2after,left,240.707,4.01179,4,47.6,60,4,12.4,66.4,0,0,60,3,2.2,60
3,small_pi2_w3,2after,left,249.975,4.16625,8,34.8,122,8,25.2,120,2,6.8,166.6,0,0,60
1,large_pi2_w3,1before,left,39.4209,0.659213,1,60,0,0,0,60,0,0,60,0,0,60
2,large_pi2_w3,1before,left,75.9427,1.26571,1,60,60,0,0,60,0,0,60,2,12,62.4
3,large_pi2_w3,1before,left,52.5887,0.876478,1,14,120,1,46,134,1,6.4,137,0,0,60
1,large_pi2_w3,2after,left,86.7922,1.45137,1,40.8,19.2,1,19.2,0,0,0,60,0,0,60
2,large_pi2_w3,2after,left,51.2594,0.854324,1,0.6,60,1,59.4,60.6,1,3,72,0,0,60
3,large_pi2_w3,2after,left,29.8052,0.496753,0,0,60,1,60,120,0,0,60,0,0,60
1,small_pi3_w3,1before,right,121.579,2.03309,2,24.2,22.8,3,35.8,0,3,8.4,17.6,2,8.8,27.6
2,small_pi3_w3,1before,right,128.95,2.14917,4,18.4,63.8,4,41.6,60,3,6.6,60,1,4.2,75.2
3,small_pi3_w3,1before,right,99.8181,1.69183,2,44.2,120,1,15.4,121.6,2,1.6,127.6,4,26.2,139
1,small_pi3_w3,2after,right,81.7607,1.36724,2,18.6,1,2,41.4,0,2,2.8,46.4,2,4.8,4
2,small_pi3_w3,2after,right,46.7504,0.779173,1,60,60,0,0,60,0,0,60,3,23.6,60
3,small_pi3_w3,2after,right,110.857,1.84762,1,26.2,120,1,33.8,146.2,1,4.2,149.2,3,11.8,120
1,large_pi3_w3,1before,right,100.595,1.6822,2,27,0,2,32.8,4.8,1,11.4,8.2,1,16.6,32.2
2,large_pi3_w3,1before,right,129.6,2.16,2,31.8,66.8,2,28,60,4,12.2,61.8,2,11.8,75.4
3,large_pi3_w3,1before,right,117.613,1.96022,2,50,120,2,9.6,159,1,0.4,162.6,3,12.4,129.2
1,large_pi3_w3,2after,right,87.797,1.46818,1,45.4,0,1,14.4,45.6,0,0,60,1,18,20.2
2,large_pi3_w3,2after,right,72.9182,1.2153,1,0.2,61.4,2,59.6,60,2,30.4,67.2,0,0,60
3,large_pi3_w3,2after,right,87.4809,1.45801,1,58.2,121.8,1,1.8,120,0,0,60,5,18.6,125
